,aircraft,travellers_type,Seat_type,route,date_flown
349,,Family Leisure,Economy Class,Gatwick to Venice,June 2023
350,,Solo Leisure,Economy Class,Dublin to London City,June 2023
351,,Business,Business Class,Tokyo to Manchester via Heathrow,June 2023
352,,Solo Leisure,Economy Class,San Francisco to London,June 2023
353,Boeing 787,Family Leisure,Economy Class,Santiago to London,May 2023
354,,Couple Leisure,Economy Class,Seattle to Nice via London,June 2023
355,,Couple Leisure,Premium Economy,Sydney via Singapore to London Heathrow,March 2023
356,Boeing 777,Business,Economy Class,Seattle to Edinburgh via Heathrow,May 2023
357,,Solo Leisure,Economy Class,Athens to Durban via London Heathrow,April 2023
358,A350,Solo Leisure,Business Class,Vancouver to London Heathrow,May 2023
359,,Family Leisure,Economy Class,Vancouver to Barcelona via London,May 2023
360,,Family Leisure,Economy Class,Boston to Cairo via London,June 2023
361,,Couple Leisure,Economy Class,London to Santorini,May 2023
362,,Family Leisure,Economy Class,Heathrow to Mumbai,February 2023
363,,Solo Leisure,Economy Class,London to Larnaca,March 2023
364,,Family Leisure,Economy Class,Nice to London Heathrow,May 2023
365,,Solo Leisure,Economy Class,Las Vegas to Venice,May 2023
366,Boeing 777-300,Family Leisure,Premium Economy,London to New York,May 2023
367,A320,Couple Leisure,Economy Class,Lisbon to London,May 2023
368,,Couple Leisure,Premium Economy,Dallas to Madrid via London,May 2023
369,,Couple Leisure,Economy Class,London to Valencia,March 2023
370,A320,Solo Leisure,Economy Class,London to Glasgow,May 2023
371,A320 Finnair,Business,Business Class,London Heathrow to Malaga,May 2023
372,A319,Couple Leisure,Business Class,London to Nice,May 2023
373,,Solo Leisure,Business Class,London to San Francisco,September 2022
374,,Solo Leisure,Economy Class,London to Dallas,April 2023
375,,Business,Economy Class,London to Madrid,May 2023
376,,Solo Leisure,Economy Class,London to Belfast,May 2023
377,,Couple Leisure,Business Class,Los Angeles to London,May 2023
378,,Couple Leisure,Business Class,Atlanta to London,April 2023
379,,Couple Leisure,Business Class,May 2023,
380,Boeing 787-9,Solo Leisure,Business Class,Sydney to London via Singapore,May 2023
381,,Solo Leisure,Business Class,Heathrow to Faro,May 2023
382,,Business,Economy Class,London to Barcelona,May 2023
383,,Business,Economy Class,New York to London,April 2023
384,Boeing 787,Couple Leisure,Business Class,Singapore to London,April 2023
385,,Couple Leisure,Economy Class,Sweden to Los Angeles via London,January 2023
386,Boeing 777,Couple Leisure,Premium Economy,Seattle to Zagreb via London,April 2023
387,Boeing 777,Family Leisure,Premium Economy,"Bangalore to Toronto via London,",April 2023
388,Dreamliner,Family Leisure,Economy Class,London to Denver,February 2023
389,A350,Solo Leisure,Premium Economy,London to Hong Kong,April 2023
390,,Couple Leisure,Economy Class,Brussels to Los Angeles via London Heathrow,April 2023
391,,Couple Leisure,Economy Class,Copenhagen to London,April 2023
392,,Family Leisure,Economy Class,London to Denver,March 2023
393,,Solo Leisure,Economy Class,Hong Kong to London,April 2023
394,A320,Business,Business Class,Heathrow to Malaga,April 2023
395,,Family Leisure,Economy Class,Santorini to Gatwick,March 2023
396,,Solo Leisure,Economy Class,Madrid to Belfast via London,January 2023
397,,Business,Economy Class,Dublin to London,April 2023
398,,Couple Leisure,Business Class,London to Venice,March 2023
399,A350,Couple Leisure,Economy Class,Las Vegas to London,April 2023
400,A320,Solo Leisure,Business Class,Faro to Heathrow,April 2023
401,Boeing 777,Couple Leisure,Business Class,London to Atlanta,April 2023
402,,Couple Leisure,Economy Class,London to Copenhagen,April 2023
403,,Couple Leisure,Economy Class,London to Malta,April 2023
404,A319,Couple Leisure,Economy Class,Belfast to London,April 2023
405,Boeing 787,Business,Premium Economy,London to Hong Kong,April 2023
406,,Family Leisure,Economy Class,Mumbai to Chicago via London,April 2023
407,Boeing 777,Business,Business Class,London to New York,April 2023
408,Boeing 777-200,Solo Leisure,Economy Class,Mumbai to London,March 2023
409,Boeing 787 / A320,Couple Leisure,Business Class,Mexico City to Amsterdam via London,March 2023
410,,Business,Economy Class,Barcelona to London,March 2023
