,aircraft,travellers_type,Seat_type,route,date_flown
2148,A320 / Boeing 767,Business,Economy Class,LHR to EDI,December 2016
2149,,Couple Leisure,Business Class,LHR to HKG,December 2016
2150,Boeing 777,Solo Leisure,Economy Class,LHR to EZE,December 2016
2151,A380,Solo Leisure,Economy Class,HKG to LHR,December 2016
2152,,Couple Leisure,Premium Economy,LHR to BKK,November 2016
2153,,Couple Leisure,Economy Class,IAD to DEL via LHR,December 2016
2154,,Business,Premium Economy,SAN to SVQ via LHR,December 2016
2155,Boeing 777,Family Leisure,Premium Economy,LHR to PHL,October 2016
2156,Boeing 747,Business,Business Class,DFW to BOM via LHR,November 2016
2157,Boeing 787-900,Solo Leisure,Business Class,LHR to AUS,December 2016
2158,A380,Business,Business Class,LHR to HKG,December 2016
2159,,Business,Premium Economy,MAN to PVG via LHR,December 2016
2160,A380 and Boeing 777,Solo Leisure,Premium Economy,IAD to LHR,December 2016
2161,Boeing 787,Business,Business Class,CTU to LHR,December 2016
2162,,Couple Leisure,Economy Class,LGW to MCO,December 2016
2163,Boeing 777,Solo Leisure,Premium Economy,LHR to SEA,December 2016
2164,,Solo Leisure,Economy Class,MAN to LHR,November 2016
2165,,Solo Leisure,Economy Class,LHR to MAN,November 2016
2166,,Business,Premium Economy,NBO to LHR,December 2016
2167,Boeing 777,Solo Leisure,Business Class,SEA to LHR,November 2016
2168,Boeing 777-200,Couple Leisure,First Class,LGW to UVF,December 2016
2169,Boeing 777-300 / A380,Business,Economy Class,SYD to LHR via SIN,December 2016
2170,Boeing 747-400,Couple Leisure,Economy Class,LHR to CPT,November 2016
2171,Boeing 787,Couple Leisure,Premium Economy,LHR to YYC,October 2016
2172,A320,Business,Business Class,LHR to LIS,December 2016
2173,A380 800,Couple Leisure,Economy Class,LHR to HKG,November 2016
2174,Boeing 777,Family Leisure,Economy Class,LHR to BKK,December 2016
2175,A321,Couple Leisure,Business Class,LHR to MAD,December 2016
2176,Boeing 777,Couple Leisure,Business Class,SIN to  SYD,December 2016
2177,,Couple Leisure,Economy Class,HKG to LHR,November 2016
2178,,Couple Leisure,Economy Class,LHR to ARN,December 2016
2179,A321,Business,Business Class,LHR to ZRH,November 2016
2180,,Couple Leisure,Business Class,LGW to MRU,November 2016
2181,,Solo Leisure,Economy Class,LHR to IST,January 2016
2182,A380,Family Leisure,Economy Class,LHR to HKG,November 2016
2183,A380,Business,First Class,SIN to LHR,November 2016
2184,Boeing 777-200ER,Solo Leisure,Economy Class,JFK to LHR,November 2016
2185,,Couple Leisure,Economy Class,LHR to BHD,October 2016
2186,Boeing 777,Business,First Class,LHR to YYZ,November 2016
2187,Boeing 787-800,Couple Leisure,Business Class,MAA to LHR,November 2016
2188,A380,Business,Premium Economy,SIN to LHR,November 2016
2189,Boeing 777,Couple Leisure,Economy Class,TLV to LHR,November 2016
2190,A320,Solo Leisure,Business Class,RAK to LGW,November 2016
2191,,Family Leisure,Economy Class,SYD to SIN,November 2016
2192,,Business,Economy Class,AMS to LHR,November 2016
2193,Boeing 747-400,Solo Leisure,First Class,LHR to SFO,April 2016
2194,Boeing 777-200,Family Leisure,Economy Class,LHR to YYZ,October 2016
2195,Boeing 747-400,Business,Business Class,DUS to BOS via LHR,November 2016
2196,A380,Business,First Class,LHR to SIN,November 2016
2197,,Business,Premium Economy,LHR to DEL,August 2016
2198,,Couple Leisure,Economy Class,RAK to LGW,November 2016
2199,A320,Business,Economy Class,LHR to BHD,November 2016
2200,Boeing 737,Solo Leisure,Economy Class,LHR to KBP,November 2016
2201,Boeing 747-400,Solo Leisure,First Class,LHR to LAS,November 2016
2202,Various,Business,Economy Class,BKK to LHR via LAD & ABV,August 2016
2203,,Family Leisure,Economy Class,LHR to IAH,August 2016
2204,,Couple Leisure,Premium Economy,LGW to ANU,September 2016
2205,A321,Business,Economy Class,LHR to DME,November 2016
2206,Boeing 777,Business,Economy Class,LGW to BGI,October 2016
2207,A380,Couple Leisure,First Class,JNB to LHR,November 2016
2208,A380,Couple Leisure,Premium Economy,MIA to LHR,November 2016
2209,Boeing 787-900,Couple Leisure,Premium Economy,LHR to BWI,November 2016
2210,A320,Solo Leisure,Economy Class,SOF to LHR,November 2016
2211,Boeing 787-800 / 777-200,Couple Leisure,First Class,YYZ to LHR,November 2016
2212,,Business,Economy Class,LHR to KUL,October 2016
2213,,Business,Business Class,CPT to DUR,November 2016
2214,A380,Couple Leisure,First Class,LHR to IAD,November 2016
2215,,Family Leisure,Economy Class,BCN to LHR,November 2016
2216,Boeing 747-400,Couple Leisure,First Class,DFW to LHR,November 2016
2217,,Solo Leisure,Economy Class,LHR to TXL,September 2016
2218,A320,Business,Economy Class,LHR to LIS,November 2016
2219,A380-800,Family Leisure,Economy Class,LHR to MIA,October 2016
2220,A320,Business,Economy Class,LIS to LHR,November 2016
2221,Boeing 787,Family Leisure,First Class,LHR to DXB,November 2016
2222,Boeing 777,Couple Leisure,First Class,DXB to LHR,November 2016
2223,A320,Solo Leisure,Business Class,LGW to ALC,November 2016
2224,Boeing 777-200,Solo Leisure,Premium Economy,LHR to BKK,November 2016
2225,Boeing 777,Couple Leisure,Premium Economy,LGW to BGI,November 2016
2226,,Solo Leisure,Economy Class,DUB to LCY,October 2016
2227,Boeing 747-400 / A380,Solo Leisure,Economy Class,JNB to CLT via LHR,November 2016
2228,A380,Couple Leisure,First Class,LHR to LAX,October 2016
2229,Boeing 777,Couple Leisure,Premium Economy,MRU to LGW,November 2016
2230,A320,Solo Leisure,Economy Class,ATH to LHR,November 2016
2231,Boeing 787-9,Couple Leisure,First Class,LHR to KUL,October 2016
2232,,Solo Leisure,Economy Class,LGW to LIM,August 2016
2233,Boeing 767-300,Business,Economy Class,LCA to LHR,November 2016
2234,Boeing 777-200,Family Leisure,Business Class,LGW to MCO,November 2016
2235,Boeing 777,Solo Leisure,Economy Class,LHR to BKK,November 2016
2236,A319,Business,Business Class,LHR to GVA,November 2016
2237,A380-800,Couple Leisure,Economy Class,LHR to LAX,October 2016
2238,Boeing 777,Couple Leisure,Premium Economy,UVF  to LGW,November 2016
2239,,Couple Leisure,Economy Class,LHR to BOS,October 2016
2240,A319,Family Leisure,Economy Class,LGW to VLC,October 2016
2241,,Solo Leisure,Economy Class,LGW to SVQ via MAD,November 2016
2242,Boeing 747-400,Couple Leisure,Economy Class,LHR to JFK,October 2016
2243,A320,Business,Business Class,LHR to OTP,October 2016
2244,Boeing 787,Solo Leisure,Economy Class,ICN to LHR,October 2016
2245,A380 and Boeing 737-800,Solo Leisure,Economy Class,LHR to CPT via JNB,October 2016
2246,A380,Couple Leisure,Business Class,HKG to LHR,October 2016
2247,Boeing 747-400,Solo Leisure,Business Class,LHR to ORD,October 2016
2248,Boeing 747-400,Solo Leisure,Economy Class,YVR to LHR,October 2016
2249,,Couple Leisure,Economy Class,LHR to AGP,October 2016
2250,A380,Couple Leisure,Premium Economy,LHR to MIA,October 2016
2251,"Boeing 747-400,  A320, A319",Solo Leisure,Economy Class,KWI to EDI via LHR,October 2016
2252,,Business,Economy Class,EDI to LGW,October 2016
2253,,Business,Premium Economy,SIN to BCN via LHR,October 2016
2254,A319,Business,Business Class,LHR to BRU,October 2016
2255,,Couple Leisure,Economy Class,ATH to LHR,October 2016
2256,A320,Business,Business Class,MLA to LGW,October 2016
2257,Boeing 777-200,Couple Leisure,Business Class,BKK to LHR,October 2016
2258,A319,Family Leisure,Business Class,LGW to Pisa,October 2016
2259,,Solo Leisure,Premium Economy,CNX  to LHR via BKK,September 2016
2260,Boeing 747 400,Couple Leisure,Business Class,LHR to LAX,September 2016
2261,Boeing 777-300,Business,Premium Economy,HND to LHR,October 2016
2262,Boeing 747,Solo Leisure,First Class,LHR to BOS,October 2016
2263,A380,Couple Leisure,Economy Class,SFO to MAN via LHR,October 2016
2264,Boeing 777-200,Couple Leisure,Economy Class,LHR to SFO,October 2016
2265,A380,Business,First Class,LHR to SIN,October 2016
2266,,Solo Leisure,Economy Class,BRI to LGW,October 2016
2267,"Boeing 747, A380",Business,First Class,JNB to ATH via LHR,June 2016
2268,,Solo Leisure,Economy Class,BKK to LHR,September 2016
2269,A320,Couple Leisure,Business Class,LGW to MLA,October 2016
2270,,Solo Leisure,Premium Economy,SYD to LHR via SIN,October 2016
2271,,Solo Leisure,Business Class,JFK to LHR,October 2016
2272,A319,Family Leisure,Economy Class,LGW to NCE,October 2016
2273,Boeing 787-9,Solo Leisure,First Class,LHR to KUL,August 2016
2274,A321-200,Solo Leisure,Economy Class,PMI to LHR,October 2016
2275,Boeing 787,Couple Leisure,Economy Class,LHR to ICN,October 2016
2276,Boeing 777 / A320,Couple Leisure,Economy Class,SEA to PRG via LHR,September 2016
2277,A380,Family Leisure,Economy Class,SIN to LHR,August 2016
2278,,Solo Leisure,Economy Class,LHR to BUD,October 2016
2279,A380,Couple Leisure,First Class,IAD to NBO via LHR,September 2016
2280,A320,Family Leisure,Economy Class,AGP to LGW,October 2016
2281,Boeing 777,Couple Leisure,Business Class,LGW to MRU,October 2016
2282,,Solo Leisure,Economy Class,DBV to LGW,October 2016
2283,Boeing 787-8 / A320,Couple Leisure,Business Class,YYC to FCO via LHR,October 2016
2284,,Couple Leisure,Economy Class,LHR to GVA,October 2016
2285,,Family Leisure,Economy Class,LCY to AGP,September 2016
2286,Boeing 747-400,Solo Leisure,Economy Class,LHR to DEN,October 2016
2287,Boeing 777,Business,First Class,DXB to DUB via LHR,July 2016
2288,Boeing 747-400,Couple Leisure,Economy Class,LAS to LHR,October 2016
2289,Boeing 747,Solo Leisure,Economy Class,BOS to LHR,October 2016
2290,A320,Solo Leisure,Economy Class,LHR to LIS,October 2016
2291,Boeing 777 / 747,Business,Premium Economy,YYZ to LIS via LHR,May 2016
2292,Boeing 777,Couple Leisure,Premium Economy,LHR to ATL,October 2016
2293,Boeing 777,Couple Leisure,Economy Class,BOS to LHR,September 2016
2294,,Business,Economy Class,JFK to DUS via LHR,October 2016
2295,A380,Couple Leisure,Business Class,JNB to LHR,September 2016
2296,A319,Couple Leisure,Economy Class,LHR to BGO,September 2016
2297,Boeing 777,Couple Leisure,Economy Class,LGW to MRU,September 2016
2298,,Couple Leisure,Business Class,CDG to BKK via LHR,September 2016
2299,,Couple Leisure,Economy Class,GLA to ZRH via LCY,July 2016
2300,Boeing 767,Family Leisure,Economy Class,LCA to LHR,September 2016
2301,A380,Couple Leisure,First Class,SIN to LHR,September 2016
2302,Boeing 777,Family Leisure,Economy Class,SJO to LGW,September 2016
2303,Boeing 777-200,Couple Leisure,Business Class,LHR to BKK,September 2016
2304,Boeing 777,Couple Leisure,First Class,MEL to SIN via SYD,September 2016
2305,Boeing 767,Couple Leisure,Business Class,LHR to AMS,September 2016
2306,Boeing 787,Solo Leisure,Premium Economy,SJC to LHR,September 2016
2307,A319,Solo Leisure,Economy Class,LGW to OPO,September 2016
2308,Boeing 747-400 / 777,Solo Leisure,Business Class,BAH to BOS via LHR,September 2016
2309,Boeing 777,Solo Leisure,Business Class,LGW to JFK,September 2016
2310,A320,Couple Leisure,Economy Class,LHR to KGS,September 2016
2311,A380,Couple Leisure,Economy Class,LHR to JNB,September 2016
2312,Boeing 777-300,Business,Premium Economy,ATL to GVA via LHR,September 2016
2313,Boeing 777-300,Couple Leisure,Economy Class,ATL to LHR,September 2016
2314,Boeing 787,Business,Premium Economy,AUH to LHR,September 2016
2315,Boeing 777-200,Family Leisure,Premium Economy,London to JFK,September 2016
2316,A380,Business,Economy Class,LHR to JNB,September 2016
2317,Boeing 787,Family Leisure,Economy Class,AUH to LHR,September 2016
2318,A319,Family Leisure,Economy Class,LGW to AGP,September 2016
2319,,Solo Leisure,Economy Class,BUD to LHR,September 2016
2320,,Solo Leisure,Business Class,LHR to AMS,September 2016
2321,Boeing 747,Family Leisure,Economy Class,LHR to SEA,August 2016
2322,,Solo Leisure,Economy Class,LHR to BUD,September 2016
2323,Boeing 767,Solo Leisure,Business Class,LHR to ATH,September 2016
2324,,Couple Leisure,Economy Class,LGW to BIO,August 2016
2325,Boeing 767,Business,Business Class,LHR to IST,September 2016
2326,,Solo Leisure,Economy Class,MAD to PER via SIN,August 2016
2327,Boeing 747-400,Couple Leisure,First Class,MIA to LHR,September 2016
2328,A320,Couple Leisure,Business Class,LHR to KRK,September 2016
2329,Boeing 747,Business,Economy Class,LHR to DEN,September 2016
2330,Boeing 747-400,Solo Leisure,Economy Class,LHR to CPT,September 2016
2331,,Solo Leisure,Economy Class,LHR to MIA,September 2016
2332,A380,Couple Leisure,Economy Class,LHR to JNB,August 2016
2333,,Solo Leisure,Economy Class,NAP to LGW,September 2016
2334,A320,Family Leisure,Economy Class,LHR to LCA,September 2016
2335,A320,Couple Leisure,Business Class,DBV to LGW,September 2016
2336,Boeing 777,Business,First Class,ATL to LHR,August 2016
2337,A319,Couple Leisure,Economy Class,LHR to DUB,September 2016
2338,A320,Couple Leisure,Business Class,LGW to DBV,September 2016
2339,A380-800,Solo Leisure,Business Class,LHR to HKG,September 2016
2340,A319,Solo Leisure,Business Class,AMS to LHR,September 2016
2341,,Couple Leisure,Economy Class,OPO to LGW,September 2016
2342,,Couple Leisure,Economy Class,NAP to LGW,September 2016
2343,,Family Leisure,Economy Class,LGW to OPO,September 2016
2344,A320,Business,Business Class,LHR to TXL,August 2016
2345,,Business,Business Class,LHR to SVO,September 2016
2346,,Couple Leisure,Economy Class,MUC to CPT via LHR,September 2016
2347,A320,Solo Leisure,Economy Class,VIE to OPO via LGW,March 2016
2348,E-170,Family Leisure,Economy Class,LCY to GVA,August 2016
2349,A319,Family Leisure,Economy Class,LHR to MUC,July 2016
2350,A320,Family Leisure,Business Class,LGW to MLA,August 2016
2351,Boeing 767,Family Leisure,Business Class,LHR to LCA,August 2016
2352,Boeing 787-900,Business,Economy Class,LHR to PVG,August 2016
2353,A380,Family Leisure,Economy Class,PRG to SIN via LHR,August 2016
2354,A320,Business,Economy Class,LHR to GLA,August 2016
2355,Boeing 747-400,Family Leisure,Business Class,PHX to LHR,August 2016
2356,A320,Solo Leisure,Economy Class,LIS to LHR,August 2016
2357,A320,Family Leisure,Economy Class,LGW to RAK,August 2016
2358,Boeing 767,Solo Leisure,Economy Class,BCN to LHR,August 2016
2359,,Business,Economy Class,LHR to BHD,August 2016
2360,Boeing 747-400,Family Leisure,First Class,"LHR to BOS, SEA to LHR",July 2016
2361,A320,Business,Economy Class,TXL to LHR,August 2016
2362,A320,Solo Leisure,Economy Class,WAW to LHR,August 2016
2363,Boeing 747-400,Couple Leisure,Economy Class,MAN to JFK via LHR,August 2016
2364,787,Family Leisure,Premium Economy,LHR to YYC,August 2016
2365,A320,Family Leisure,First Class,MLA to LHR,July 2016
2366,Boeing 777,Business,First Class,PHL to LHR,August 2016
2367,Boeing 747-400,Couple Leisure,Business Class,LHR to BOS,July 2016
2368,,Couple Leisure,Business Class,NAP to LGW,August 2016
2369,A321/A319,Business,Economy Class,LHR to CDG,August 2016
2370,,Solo Leisure,Economy Class,ABV to LHR,August 2016
2371,,Family Leisure,Economy Class,LHR to IST,August 2016
2372,A320,Solo Leisure,Economy Class,LHR to KRK,August 2016
2373,A320,Solo Leisure,Economy Class,LHR to DUB,August 2016
2374,A380,Business,Economy Class,LHR to YVR,August 2016
2375,A380,Couple Leisure,Business Class,LHR to IAD,August 2016
2376,,Solo Leisure,Economy Class,LHR to YUL,August 2016
2377,A321,Solo Leisure,Economy Class,ZRH to LHR,August 2016
2378,Boeing 777-200,Solo Leisure,Economy Class,BOS to SXF via LHR,August 2016
2379,Boeing 777-236 ER,Couple Leisure,Business Class,LGW to TPA,April 2016
2380,A319,Business,Business Class,FRA to LHR,August 2016
2381,,Couple Leisure,Business Class,DUB to SFO via PHL,June 2016
2382,Boeing 747,Solo Leisure,Premium Economy,MEX to AMS via LHR,August 2016
2383,,Solo Leisure,Economy Class,ZRH to BWI via LHR,June 2016
2384,Boeing 777-300ER,Solo Leisure,Economy Class,SIN to SYD,August 2016
2385,Boeing 777,Couple Leisure,Business Class,LHR to NAS,June 2016
2386,A380,Family Leisure,Business Class,MIA to LHR,July 2016
2387,Boeing 777,Business,Premium Economy,DOH to CDG via BAH / LHR,July 2016
